order_id,customer_id,order_status,order_date,items_total,payments_total
ccec592b58e122dc2bfc2305152d9603,ac062697fc30d35bd5bd10d4e71095e8,delivered,"2018-08-24 16:35:15",211.58,7.00
24d467b091af7611de89fe9d2c4b76c9,bc3327481eb6481c9de552b1b15abf6e,delivered,"2018-08-24 16:32:04",303.68,10.00
728e61b2b527529e10ce6ec9b04afaf8,56a50ea5aab26d0f35df63e8258ff4ee,delivered,"2018-08-24 16:27:11",70.98,1.00
97f1dd40b5bea6a7e3cf78fd83a28cb1,8a4f9a65cf1e6a64ebaba3578c868d1d,delivered,"2018-08-24 16:26:08",69.07,1.00
5409cdf5d7f44a620466f80570fade10,0a843597f711e82638c06f81db65eec5,delivered,"2018-08-24 16:22:53",57.51,1.00
685fba1a5551ac4728f304d9afc1b826,615e08c75d2c15cca541c181358bc5b2,delivered,"2018-08-24 16:10:44",168.86,2.00
4d11452ff6c06fef98b89c5f6512ef51,5bc1bf7176469cce9690d4d9d42ae679,delivered,"2018-08-24 16:08:33",128.17,12.00
93404003d3192d8a2d781361faa129dc,c8728a6ecadbec957fde55e78ca8d03d,delivered,"2018-08-24 16:01:28",48.83,1.00
8284b00d4745bed4c4823f738941718f,eefadc15137f7f3499538969c14ab29d,delivered,"2018-08-24 15:40:41",68.15,4.00
d85ce87a3af93d77d9ffb99a90c76710,0e0af490d67b53659df4023f40355891,delivered,"2018-08-24 15:05:27",32.94,1.00
051fcda88d997d3ff86012da2a556342,e13a5ed086aacc9b2b7466c78645b468,delivered,"2018-08-24 14:59:37",56.60,4.00
0c2cf3b3583c8f83ff9b3122d44fdaeb,5445f5f238cfaafc96fd267d5db851d6,delivered,"2018-08-24 14:57:19",23.29,1.00
6de62f929c2967a3932bbfe43a85b0fb,8fb1b586f6b3bfa71bb81ecd969389d2,delivered,"2018-08-24 14:48:28",22.36,1.00
4e157a36ea9cf89bde6fff57a780b525,24970f1325070d89a1c42dd450b09a8a,delivered,"2018-08-24 14:37:50",57.44,1.00
