customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code
7353be07ce9cac1da115dcc3a29c8794,7,1,6.00,1,1,1,111
f9902ec9ad685660e7876aa9da6fb79e,7,1,6.00,1,1,1,111
c7620313ad8f336ef1a86409c44858fb,74,1,6.00,1,1,1,111
b6bc6eaab9eb9a657eef5c57a601713f,6,1,6.00,1,1,1,111
3c47dfe68c3af2dbbf662331f698c3e2,83,1,6.00,1,1,1,111
e8efd904f5cac24b5419e787e410725e,83,1,6.00,1,1,1,111
e2dfca400ca2f5671121e7f6a6bcc27f,83,1,6.00,1,1,1,111
e1c85f77bb34db0755d61ea596e11ec1,83,1,6.00,1,1,1,111
c16c1fa88d7045320612b5c7481a0017,83,1,6.00,1,1,1,111
cffa3735e3c4d6cdd98e7a43b39cc31d,82,1,6.00,1,1,1,111
cebf6d20c8b89653b6b21d8cd42de112,82,1,6.00,1,1,1,111
d8752c6861f92232d6811bace3e1e96c,82,1,6.00,1,1,1,111
b31c9083df03daba33cf3cd7c32e8f53,82,1,6.00,1,1,1,111
842909a01087405cc84f9c41d519b3f4,82,1,6.00,1,1,1,111
7c75e010e637f4f32ac425dd7982a9d9,82,1,6.00,1,1,1,111
8af3bf05a1bed6b602640e3af01305c9,82,1,6.00,1,1,1,111
67290cb3c52701d36b0864decde52e26,82,1,6.00,1,1,1,111
76e450ad0dd910adc304127c01dd8ab4,82,1,6.00,1,1,1,111
75e9ca5fea78afa5f2fb324d58593d64,82,1,6.00,1,1,1,111
4df2fb3faf5f1af030298a009f92b56a,82,1,6.00,1,1,1,111
17cbedc24919c57eab7701e9d4136f16,82,1,6.00,1,1,1,111
128963de0688f0824e10f06012bd45f1,82,1,6.00,1,1,1,111
062238d27c69d03c3cf38b199d6a17a4,81,1,6.00,1,1,1,111
26435e2cea7507ff59be5351235daa2d,81,1,6.00,1,1,1,111
1f508e60fbbe74dbec28e4013599d0ff,81,1,6.00,1,1,1,111
1d12191621c02b528b1fac8d221e5bc3,81,1,6.00,1,1,1,111
a1b1b1ff65d49b3c417da96e181b11b6,81,1,6.00,1,1,1,111
c4aac8360e57eb2ad666d53281acf3e4,81,1,6.00,1,1,1,111
cb8662672b8a33562c7508a7ef1c1fb7,81,1,6.00,1,1,1,111
ee3085a51c5d83d1c6c9b801ffaa9cbd,81,1,6.00,1,1,1,111
6ec6389f7995e967419e6932ce93649b,81,1,6.00,1,1,1,111
78c82335a1be65b1bcc84d28cd2a0d73,81,1,6.00,1,1,1,111
580cb51ef32f77efc212a90937e83ce3,81,1,6.00,1,1,1,111
578619192f388708eeb68f604bf43e4c,81,1,6.00,1,1,1,111
41f6e1b035458d4e908ad2afdb7006cd,81,1,6.00,1,1,1,111
45d1c56383e4e977087798ada78ac371,80,1,6.00,1,1,1,111
929cca0da005b90ff84064609a25b805,80,1,6.00,1,1,1,111
ba024083a600977ca295facae24a3896,80,1,6.00,1,1,1,111
b9b1a052999a70e11ea371670af35de0,80,1,6.00,1,1,1,111
b7c108aa583a020c6cf862954910fe4b,80,1,6.00,1,1,1,111
b5294575700727d9702ed9c3edebca45,80,1,6.00,1,1,1,111
0b1ef8f1c964c96702a47c381c61f84f,80,1,6.00,1,1,1,111
9bef825c531fc3631584df912afbb0a0,78,1,6.00,1,1,1,111
9f77a153eb2afae731c6e94762dd9c74,78,1,6.00,1,1,1,111
a3790c497b0ff156ac657a9521b86226,78,1,6.00,1,1,1,111
6eb8a2a89a8603f8c7935a870d707b60,79,1,6.00,1,1,1,111
5d88bd88c9579a989ddc851c82b0e5bd,79,1,6.00,1,1,1,111
66b3abdcd16946dbdc4a946bb49b9dce,79,1,6.00,1,1,1,111
2c3b4164d355435c686926ea0b391ce8,79,1,6.00,1,1,1,111
1c9335489ef62337129fd9f5023e7c32,79,1,6.00,1,1,1,111
0fc75386564a02fc4c0f37f0fb901aa6,79,1,6.00,1,1,1,111
d41f37ab92ba0000abca9418e1974179,79,1,6.00,1,1,1,111
acaf9c8dbadcef1c6ce123806c9e6c34,79,1,6.00,1,1,1,111
a2f717aa61bb01e688d547976d339428,79,1,6.00,1,1,1,111
b2b8c30ebaecd258b046a58574474c0c,79,1,6.00,1,1,1,111
b2f959c0170184abb7c5c43dc15d2c8a,79,1,6.00,1,1,1,111
ed714d066678c911cf14b9319ae55a02,79,1,6.00,1,1,1,111
f037ce08051ed4742e3a8c8c58193f6c,79,1,6.00,1,1,1,111
c9fba04ea0c3646531ffaec5b2d5cc68,80,1,6.00,1,1,1,111
8b1371508a4fe08f6f680705db002f01,80,1,6.00,1,1,1,111
80e968c229f2d73ddd2198bfa050af17,80,1,6.00,1,1,1,111
62564bb035479125e2961f465565adfd,80,1,6.00,1,1,1,111
3d8f63e51c1f45ef00bdc81d965b6f37,74,1,6.00,1,1,1,111
3f4a36b6c601a4ec393742f22a372b07,74,1,6.00,1,1,1,111
d5ea50c98aa40018a98b94aa503c815a,75,1,6.00,1,1,1,111
c5a87762eee414a837994ba0eb447041,75,1,6.00,1,1,1,111
67f7d267931d6b466c95818318da0cb5,75,1,6.00,1,1,1,111
69084434a5f84031844ea9437289dd19,75,1,6.00,1,1,1,111
7bcf1cc174419046b5c554e770a7e2a7,75,1,6.00,1,1,1,111
82aa943f94e0f50ac5415b1a2cc7b354,75,1,6.00,1,1,1,111
af7818456efda41e75497ab9b240bff4,75,1,6.00,1,1,1,111
9b317470f896778b506d35f71b84a528,75,1,6.00,1,1,1,111
37ae7c58b4be022ce76874059d56d998,76,1,6.00,1,1,1,111
696bcbb6efac684825aa192edaf8126e,76,1,6.00,1,1,1,111
c1c431509360faa8a6344ddc22650d2e,76,1,6.00,1,1,1,111
12869eae016893325456717ed2b57427,76,1,6.00,1,1,1,111
2d8ee44f2e52eab6d4486830a4e6a60e,76,1,6.00,1,1,1,111
09e0892757b9236f00bdaff2b378253b,77,1,6.00,1,1,1,111
f7e21dc793f9ec893a73e8f6fa3b417c,77,1,6.00,1,1,1,111
3d9eefabcc18173795e8cdb0b5644386,77,1,6.00,1,1,1,111
7611c1c57e281b24b0e4efb7b4962ac9,77,1,6.00,1,1,1,111
823e768b373b1acb9edf618e67bb0145,77,1,6.00,1,1,1,111
62478e432992b8756cad2d8b6fffb06e,77,1,6.00,1,1,1,111
68894ba12663385ac3eff14899f54def,77,1,6.00,1,1,1,111
aec192ba767b529eae7c4e8dcd4a1d96,77,1,6.00,1,1,1,111
e2c30420545a29c61584d6006811c1b0,77,1,6.00,1,1,1,111
c4a8d68b42635b6fc8539a0b7ba38ede,77,1,6.00,1,1,1,111
c4b1e5c06add0388a2d181248f4c3a3e,77,1,6.00,1,1,1,111
c2fd0cfe467f2a1dc7a1854e1924d232,78,1,6.00,1,1,1,111
19c536531db4a7685fae8423edfc72c2,78,1,6.00,1,1,1,111
baa8144c90cc484cda27858b86a32f99,71,2,6.00,1,1,1,111
bdb40fdb1df62064c8ee38b845459e77,61,2,6.00,1,1,1,111
86cbe11fd60a1037c99ac650997ff80a,23,1,6.00,1,1,1,111
8d073068b7eda86142f1563b922c9727,23,1,6.00,1,1,1,111
b5f8487590dbf8c58d1abb635ff21d08,23,1,6.00,1,1,1,111
a389cb2cf90568bd23689f6d20c3bbc2,23,1,6.00,1,1,1,111
1c085622f3e08953ec41c54723d017c5,23,1,6.00,1,1,1,111
2eb024f5600d788ebc45caf7b962f243,23,1,6.00,1,1,1,111
c838fd26278f9cb8752f1a067d488dc7,23,1,6.00,1,1,1,111
d8182e33151364df08d8c6e28b51cbfe,22,1,6.00,1,1,1,111
e4fa7e3641d015919cf66a0919c1e7e6,22,1,6.00,1,1,1,111
c78e6e509645be560e867577f333bff8,22,1,6.00,1,1,1,111
9e275671202bef53a3e531057fd9c485,22,1,6.00,1,1,1,111
291d020953194db1b8578ff8d9959c62,92,2,6.00,1,1,1,111
ae899cddd0d9a9ae7f10099595241089,90,2,6.00,1,1,1,111
4e6b130c18a39ccc9a5a3cb062344ad7,63,1,6.00,1,1,1,111
1fb5645611bf27d5e69925e1d4f5b6cf,67,1,6.00,1,1,1,111
1f9c48f49104615ed8ccf11a0d2b6865,67,1,6.00,1,1,1,111
1cf20867955867347b802ab40dd74689,67,1,6.00,1,1,1,111
045b2197c52c574f3443d3c74dbdd6ab,66,1,6.00,1,1,1,111
12daf373729890fb70d6e10e89f3157f,66,1,6.00,1,1,1,111
ad6cb9c7441bed87f39a478a1830a0df,66,1,6.00,1,1,1,111
a98374944c391b683705a86444079d56,66,1,6.00,1,1,1,111
e33529eb32d5ff3684732d3de4a2d3cd,66,1,6.00,1,1,1,111
878d1683076172a5b7ffc7126ba99acd,90,2,6.00,1,1,1,111
f43a741f2b86fc593b013959d7b34083,84,2,6.00,1,1,1,111
a163d05eecb19576ff0157a8f55844f1,22,1,6.00,1,1,1,111
74da9bfeaa1c29dc1e5b3a07a4ec17a2,22,1,6.00,1,1,1,111
7dd2e8827e0bb9c6e63127eafc85d9e3,22,1,6.00,1,1,1,111
4199bfc0fc1a7bc4009e77babf61038b,22,1,6.00,1,1,1,111
531a1a612d4506e1752a39023655831c,22,1,6.00,1,1,1,111
50bb522b463517d5cdcb4ce2ac2fc610,22,1,6.00,1,1,1,111
f0cf6e4ed0e235e8fed8a6e2d209711b,22,1,6.00,1,1,1,111
fe0629db392c940ec6fd9935ae224071,22,1,6.00,1,1,1,111
0167f525469634cccbda49491f01324c,22,1,6.00,1,1,1,111
22aa818d91760f0e8ef6515d8b6af549,22,1,6.00,1,1,1,111
744765d6769a9910f401086aa32a1701,69,1,6.00,1,1,1,111
84c3b9f27b3658e76701ebf57851605a,68,1,6.00,1,1,1,111
669dd06846ae9e7d1634981bdb2f08c6,68,1,6.00,1,1,1,111
74cb21ed97707645fbb69231f30a55ba,68,1,6.00,1,1,1,111
99aa844e1dfbb94ee8ea9301de8cbe25,68,1,6.00,1,1,1,111
